entity_id,type,field,current_value,current_source_type,current_source_url,data_as_of
tnerc,RegulatoryBodyQJ,filed_last_year,480,AnnualReport,,2024-12-01
tnerc,RegulatoryBodyQJ,disposed_last_year,420,AnnualReport,,2024-12-01
tnerc,RegulatoryBodyQJ,disposal_rate,0.875,AnnualReport,,2024-12-01
tnerc,RegulatoryBodyQJ,avg_disposal_days,730,AnnualReport,,2024-12-01
tnerc,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
tn_cdrc_chennai,ConsumerCommission,pending_cases,18000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
tn_cdrc_chennai,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
tn_state_cdrc,ConsumerCommission,pending_cases,28000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
tn_state_cdrc,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
nclat,CentralTribunal,pending_cases,4200,AnnualReport,,2024-12-01
nclat,CentralTribunal,filed_last_year,2800,AnnualReport,,2024-12-01
nclat,CentralTribunal,disposed_last_year,2200,AnnualReport,,2024-12-01
nclat,CentralTribunal,disposal_rate,0.7857,AnnualReport,,2024-12-01
nclat,CentralTribunal,avg_disposal_days,547,AnnualReport,,2024-12-01
nclat,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
itat,CentralTribunal,filed_last_year,55000,AnnualReport,,2024-12-01
itat,CentralTribunal,disposed_last_year,39000,AnnualReport,,2024-12-01
itat,CentralTribunal,disposal_rate,0.7091,AnnualReport,,2024-12-01
itat,CentralTribunal,avg_disposal_days,1095,AnnualReport,,2024-12-01
itat,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
sat,CentralTribunal,pending_cases,420,AnnualReport,https://satweb.sat.gov.in/,2024-12-01
sat,CentralTribunal,filed_last_year,380,AnnualReport,https://satweb.sat.gov.in/,2024-12-01
sat,CentralTribunal,disposed_last_year,345,AnnualReport,https://satweb.sat.gov.in/,2024-12-01
sat,CentralTribunal,disposal_rate,0.9079,AnnualReport,https://satweb.sat.gov.in/,2024-12-01
sat,CentralTribunal,avg_disposal_days,365,AnnualReport,https://satweb.sat.gov.in/,2024-12-01
sat,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
lok_adalat_generic,ADRBody,disposed_last_year,15000000,AnnualReport,https://nalsa.gov.in/,2024-12-01
lok_adalat_generic,ADRBody,njdg_source_stamp,present,,,2024-12-01
aft,CentralTribunal,pending_cases,48000,Tribunal_Report,https://aftdelhi.nic.in/,2024-12-01
aft,CentralTribunal,filed_last_year,9500,Tribunal_Report,https://aftdelhi.nic.in/,2024-12-01
aft,CentralTribunal,disposed_last_year,7800,Tribunal_Report,https://aftdelhi.nic.in/,2024-12-01
aft,CentralTribunal,disposal_rate,0.8211,Tribunal_Report,https://aftdelhi.nic.in/,2024-12-01
aft,CentralTribunal,avg_disposal_days,1095,Tribunal_Report,https://aftdelhi.nic.in/,2024-12-01
aft,CentralTribunal,njdg_source_stamp,absent,,,2024-12-01
iiac,ArbitralInstitution,njdg_source_stamp,present,,,
irdai,RegulatoryBodyQJ,njdg_source_stamp,present,,,
cat,CentralTribunal,pending_cases,42000,AnnualReport,,2024-12-01
cat,CentralTribunal,filed_last_year,18000,AnnualReport,,2024-12-01
cat,CentralTribunal,disposed_last_year,11700,AnnualReport,,2024-12-01
cat,CentralTribunal,disposal_rate,0.65,AnnualReport,,2024-12-01
cat,CentralTribunal,avg_disposal_days,912,AnnualReport,,2024-12-01
cat,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
drt,CentralTribunal,pending_cases,195000,Tribunal_Report,https://drt.gov.in/,2024-12-01
drt,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
aptel,CentralTribunal,njdg_source_stamp,present,,,
sebi,RegulatoryBodyQJ,njdg_source_stamp,present,,,
drat,CentralTribunal,njdg_source_stamp,present,,,
cestat,CentralTribunal,pending_cases,120000,Tribunal_Report,https://cestat.gov.in/,2024-12-01
cestat,CentralTribunal,filed_last_year,22000,Tribunal_Report,https://cestat.gov.in/,2024-12-01
cestat,CentralTribunal,disposed_last_year,18000,Tribunal_Report,https://cestat.gov.in/,2024-12-01
cestat,CentralTribunal,disposal_rate,0.8182,Tribunal_Report,https://cestat.gov.in/,2024-12-01
cestat,CentralTribunal,avg_disposal_days,730,Tribunal_Report,https://cestat.gov.in/,2024-12-01
cestat,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
nclt,CentralTribunal,pending_cases,45000,Tribunal_Report,https://nclt.gov.in/,2024-12-01
nclt,CentralTribunal,filed_last_year,18000,Tribunal_Report,https://nclt.gov.in/,2024-12-01
nclt,CentralTribunal,disposed_last_year,14000,Tribunal_Report,https://nclt.gov.in/,2024-12-01
nclt,CentralTribunal,disposal_rate,0.7778,Tribunal_Report,https://nclt.gov.in/,2024-12-01
nclt,CentralTribunal,avg_disposal_days,547,Tribunal_Report,https://nclt.gov.in/,2024-12-01
nclt,CentralTribunal,njdg_source_stamp,present,,,2024-12-01
mcia,ArbitralInstitution,njdg_source_stamp,present,,,
tdsat,CentralTribunal,njdg_source_stamp,present,,,
ngt,CentralTribunal,pending_cases,5698,Tribunal_Report,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,2026-04-30
ngt,CentralTribunal,filed_last_year,1976,Tribunal_Report,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,2026-04-30
ngt,CentralTribunal,disposed_last_year,1937,Tribunal_Report,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,2026-04-30
ngt,CentralTribunal,disposal_rate,0.9813,Tribunal_Report,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,2026-04-30
ngt,CentralTribunal,njdg_source_stamp,present,,,2026-04-30
diac,ArbitralInstitution,njdg_source_stamp,present,,,
cci,RegulatoryBodyQJ,pending_cases,890,AnnualReport,,2024-12-01
cci,RegulatoryBodyQJ,filed_last_year,580,AnnualReport,,2024-12-01
cci,RegulatoryBodyQJ,disposed_last_year,495,AnnualReport,,2024-12-01
cci,RegulatoryBodyQJ,disposal_rate,0.8534,AnnualReport,,2024-12-01
cci,RegulatoryBodyQJ,avg_disposal_days,547,AnnualReport,,2024-12-01
cci,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
trai,RegulatoryBodyQJ,njdg_source_stamp,present,,,
nalsa,ADRBody,njdg_source_stamp,present,,,
