entity_id,entity_name,field,stored_value,stored_provenance,rater_found_value,classification,auto_apply,outcome,reason,yaml_path,source_url,entity_type,abbreviation
cat,Central Administrative Tribunal,filed_last_year,18000,contaminated (homepage / 42-ladder / round-thousand),32998,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
cat,Central Administrative Tribunal,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
cat,Central Administrative Tribunal,pending_cases,42000,contaminated (homepage / 42-ladder / round-thousand),69581,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
cci,Competition Commission of India,avg_disposal_days,547,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cci,Competition Commission of India,disposal_rate,0.8534,contaminated (homepage / 42-ladder / round-thousand),0.9064,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cci,Competition Commission of India,disposed_last_year,495,contaminated (homepage / 42-ladder / round-thousand),184,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cci,Competition Commission of India,filed_last_year,580,contaminated (homepage / 42-ladder / round-thousand),203,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cci,Competition Commission of India,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cci,Competition Commission of India,pending_cases,890,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cci.yaml,,RegulatoryBodyQJ,CCI
cestat,"Customs, Excise and Service Tax Appellate Tribunal",avg_disposal_days,730,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
cestat,"Customs, Excise and Service Tax Appellate Tribunal",disposal_rate,0.8182,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
cestat,"Customs, Excise and Service Tax Appellate Tribunal",disposed_last_year,18000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
cestat,"Customs, Excise and Service Tax Appellate Tribunal",filed_last_year,22000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
cestat,"Customs, Excise and Service Tax Appellate Tribunal",njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
cestat,"Customs, Excise and Service Tax Appellate Tribunal",pending_cases,120000,contaminated (homepage / 42-ladder / round-thousand),72179,expert-pending — rater split; no auto-write,N,disagree_verdict,verdicts differ: prajna=UNSOURCED agriya=REFUTE,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cestat.yaml,https://cestat.gov.in/,CentralTribunal,CESTAT
derc,Delhi Electricity Regulatory Commission,avg_disposal_days,730,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
derc,Delhi Electricity Regulatory Commission,disposal_rate,0.8684,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
derc,Delhi Electricity Regulatory Commission,disposed_last_year,330,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
derc,Delhi Electricity Regulatory Commission,filed_last_year,380,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
derc,Delhi Electricity Regulatory Commission,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
derc,Delhi Electricity Regulatory Commission,pending_cases,980,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/derc.yaml,https://derc.gov.in/,RegulatoryBodyQJ,DERC
diac,Delhi International Arbitration Centre,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/diac.yaml,,ArbitralInstitution,DIAC
dl_rera,Delhi Real Estate Regulatory Authority,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_rera.yaml,,RegulatoryBodyQJ,
dl_slsa,Delhi State Legal Services Authority (DSLSA),njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_slsa.yaml,,ADRBody,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,avg_disposal_days,730,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,disposal_rate,0.871,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,disposed_last_year,5400,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,filed_last_year,6200,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
dl_state_cdrc,Delhi State Consumer Disputes Redressal Commission,pending_cases,24000,contaminated (homepage / 42-ladder / round-thousand),23970,expert-pending — rater split; no auto-write,N,disagree_verdict,verdicts differ: prajna=REFUTE agriya=UNSOURCED,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/dl/dl_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
drat,Debt Recovery Appellate Tribunal,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/drat.yaml,,CentralTribunal,DRAT
drt,Debt Recovery Tribunal,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/drt.yaml,https://drt.gov.in/,CentralTribunal,DRT
drt,Debt Recovery Tribunal,pending_cases,195000,contaminated (homepage / 42-ladder / round-thousand),178172,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/drt.yaml,https://drt.gov.in/,CentralTribunal,DRT
iiac,India International Arbitration Centre,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/iiac.yaml,,ArbitralInstitution,IIAC
irdai,Insurance Regulatory and Development Authority of India,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/irdai.yaml,,RegulatoryBodyQJ,IRDAI
itat,Income Tax Appellate Tribunal,avg_disposal_days,1095,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/itat.yaml,,CentralTribunal,ITAT
itat,Income Tax Appellate Tribunal,disposal_rate,0.7091,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/itat.yaml,,CentralTribunal,ITAT
itat,Income Tax Appellate Tribunal,disposed_last_year,39000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/itat.yaml,,CentralTribunal,ITAT
itat,Income Tax Appellate Tribunal,filed_last_year,55000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/itat.yaml,,CentralTribunal,ITAT
itat,Income Tax Appellate Tribunal,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/itat.yaml,,CentralTribunal,ITAT
ka_cdrc_bengaluru,Bengaluru Urban District Consumer Forum,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_cdrc_bengaluru.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_cdrc_bengaluru,Bengaluru Urban District Consumer Forum,pending_cases,14000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_cdrc_bengaluru.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),avg_disposal_days,547,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),disposal_rate,0.8267,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),disposed_last_year,6200,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),filed_last_year,7500,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_rera,Karnataka Real Estate Regulatory Authority (K-RERA),pending_cases,18000,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_rera.yaml,https://rera.karnataka.gov.in/,RegulatoryBodyQJ,
ka_slsa,Karnataka State Legal Services Authority,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_slsa.yaml,,ADRBody,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,avg_disposal_days,547,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,disposal_rate,0.8793,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,disposed_last_year,5100,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,filed_last_year,5800,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
ka_state_cdrc,Karnataka State Consumer Disputes Redressal Commission,pending_cases,20000,contaminated (homepage / 42-ladder / round-thousand),SPLIT p=19960 a=9947,expert-pending — rater split; no auto-write,N,disagree_value,both refute but proposed replacements differ,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/ka_state_cdrc.yaml,https://consumerhelpline.gov.in/,ConsumerCommission,
kerc,Karnataka Electricity Regulatory Commission,avg_disposal_days,730,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
kerc,Karnataka Electricity Regulatory Commission,disposal_rate,0.8652,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
kerc,Karnataka Electricity Regulatory Commission,disposed_last_year,398,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
kerc,Karnataka Electricity Regulatory Commission,filed_last_year,460,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
kerc,Karnataka Electricity Regulatory Commission,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
kerc,Karnataka Electricity Regulatory Commission,pending_cases,1100,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/states/ka/kerc.yaml,https://kerc.gov.in/,RegulatoryBodyQJ,KERC
lok_adalat_generic,Lok Adalat,disposed_last_year,15000000,contaminated (homepage / 42-ladder / round-thousand),22383774,expert-pending — rater split; no auto-write,N,disagree_verdict,verdicts differ: prajna=REFUTE agriya=UNSOURCED,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/lok_adalat_generic.yaml,https://nalsa.gov.in/,ADRBody,
